nit_cor_per_
nit_cor_lbs_
pho_cor_per_
pho_cor_lbs_
pot_cor_per_
pot_cor_lbs_
nit_cot_per_
nit_cot_lbs_
pho_cot_per_
pho_cot_lbs_
pot_cot_per_
pot_cot_lbs_
nit_soy_per_
nit_soy_lbs_
pho_soy_per_
pho_soy_lbs_
pot_soy_per_
pot_soy_lbs_
nit_whe_per_
nit_whe_lbs_
pho_whe_per_
pho_whe_lbs_
pot_whe_per_
pot_whe_lbs_
